25.5	9	7.5	22.5	5.5	9	5.5	8.5	1	0	1	0	1	0	3	2.91	77.49
25.5	9	6.5	25.5	3.5	13	7	13	0	1	1	1	1	1	2	2.77	70.11
18.5	21	7.5	18.5	3.5	11	7	13	1	1	0	1	0	0	1	2.91	77.49
22.5	13	8.5	25.5	2	13	5.5	8.5	0	0	0	0	0	1	3	2.77	77.49
22.5	17	5	20.5	2	6	9	3.5	0	1	1	1	1	1	1	2.77	77.49
24.5	9	6.5	22.5	3.5	4	7	13	0	0	0	1	0	1	1	2.63	73.8
22.5	13	5	25.5	5.5	13	5.5	6	1	1	1	0	0	1	2	2.77	77.49
24.5	17	8.5	20.5	3.5	13	9	6	0	1	0	0	1	0	3	2.63	70.11
18.5	17	5	20.5	5.5	9	5.5	3.5	1	1	0	1	1	0	3	2.63	73.8
20.5	9	9	18.5	3.5	11	5.5	3.5	1	0	1	1	0	1	2	2.77	77.49
18.5	9	9	24.5	3.5	11	9	3.5	1	0	0	0	0	1	3	2.91	73.8
20.5	13	6.5	24.5	2	6	9	8.5	1	1	0	0	0	0	1	2.91	73.8
25.5	13	7.5	22.5	5.5	13	9	8.5	1	1	1	1	0	0	1	2.77	77.49
25.5	13	9	25.5	2	4	7	13	0	1	1	0	1	0	2	2.77	77.49
24.5	9	8.5	18.5	2	6	9	10	1	0	0	1	1	0	2	2.63	73.8
18.5	21	5	20.5	5.5	9	5.5	8.5	0	0	0	0	1	1	2	2.91	70.11
22.5	21	6.5	25.5	2	11	5.5	10	1	0	1	1	1	0	2	2.63	77.49
24.5	23	9	22.5	3.5	11	9	10	0	0	0	0	1	0	1	2.91	73.8
25.5	21	7.5	24.5	2	4	7	3.5	0	1	0	1	0	1	3	2.77	70.11
20.5	17	9	22.5	5.5	9	9	13	1	0	0	1	0	0	2	2.63	70.11
18.5	23	7.5	24.5	5.5	11	9	13	0	1	0	0	0	0	2	2.63	73.8
24.5	23	8.5	20.5	2	13	7	3.5	0	0	1	0	1	1	2	2.91	73.8
20.5	23	6.5	25.5	2	6	5.5	10	0	1	1	1	0	1	3	2.77	73.8
22.5	23	8.5	24.5	3.5	6	7	6	1	1	1	0	1	1	3	2.63	70.11
24.5	21	5	20.5	2	9	7	6	1	0	1	0	0	0	1	2.91	70.11
22.5	17	6.5	18.5	3.5	4	9	8.5	0	1	0	1	1	1	1	2.91	70.11
20.5	13	9	22.5	5.5	4	7	10	1	1	0	1	1	1	3	2.77	77.49
20.5	21	8.5	24.5	5.5	6	5.5	6	0	0	1	0	0	0	1	2.63	70.11
25.5	17	5	18.5	3.5	4	5.5	6	0	0	1	1	0	0	3	2.91	73.8
18.5	23	7.5	18.5	5.5	9	7	10	1	0	1	0	1	1	1	2.63	70.11
