1       0.0500   33366.67   63070  116.00  1110.00  768.57  1200  11732.14  26.18 
2       0.0500   100.00   80580   80.73  1092.86  802.86  1600  10167.86   14.46 
3       0.0567   100.00   98090   80.73  1058.57  717.14  1680  11106.43   22.75 
4       0.0567   33366.67   98090   98.37  1110.00  734.29  1280  10480.71   30.98 
5       0.0633   100.00  115600   80.73  1075.71  751.43  1600  11106.43   28.33 
6       0.0633   16733.33   80580   80.73  1058.57  785.71  1680  12045.00   24.60 
7       0.0700   33366.67   63070   98.37  1092.86  768.57  1200  11732.14   48.65 
8       0.0700   16733.33  115600  116.00   990.00  700.00  1360  10793.57   35.36 
9       0.0767   100.00  115600   80.73  1075.71  751.43  1520  10793.57   42.44 
10      0.0767   16733.33   80580   80.73  1075.71  802.86  1120   9855.00   44.16 
11      0.0833   50000.00   98090   63.10  1041.43  717.14  1600  10793.57   47.49 
12      0.0833   50000.00  115600   63.10  1007.14  768.57  1440  11419.29   41.04 
13      0.0900   16733.33   63070  116.00  1075.71  751.43  1120  11419.29   83.77 
14      0.0900   33366.67  115600  116.00  1007.14  717.14  1360  11106.43   60.05 
15      0.0967   50000.00   80580   63.10  1024.29  820.00  1360   9855.00   43.15 
16      0.0967   16733.33   80580   98.37  1058.57  700.00  1120  10480.71   97.98 
17      0.1033   50000.00   80580   63.10  1024.29  700.00  1520  10480.71   74.44 
18      0.1033   16733.33   80580   98.37  1058.57  820.00  1120  10167.86   72.23 
19      0.1100   50000.00   98090   63.10  1024.29  717.14  1520  10793.57   82.18 
20      0.1100   100.00   63070   98.37  1041.43  802.86  1600  12045.00   68.06 
21      0.1167   33366.67   63070  116.00   990.00  785.71  1280  12045.00   81.63 
22      0.1167   100.00   98090   98.37  1092.86  802.86  1680   9855.00   72.54 
23      0.1233   16733.33  115600   80.73  1092.86  734.29  1200  11419.29  161.35 
24      0.1233   16733.33   63070   63.10  1041.43  785.71  1680  12045.00   86.73 
25      0.1300   33366.67   80580  116.00  1110.00  768.57  1280  11732.14  164.78 
26      0.1300   100.00   98090   98.37  1110.00  820.00  1280  10167.86  121.76 
27      0.1367   50000.00   98090   63.10  1007.14  820.00  1440  10167.86   76.51 
28      0.1367   33366.67   98090  116.00  1024.29  700.00  1200  10480.71  164.75 
29      0.1433   50000.00   63070  116.00   990.00  785.71  1440   9855.00   89.54 
30      0.1433   50000.00  115600   63.10  1007.14  734.29  1440  11732.14  141.09 
31      0.1500   33366.67   63070   98.37   990.00  751.43  1360  11419.29  139.94 
32      0.1500   100.00  115600  80.73  1041.43  734.29  1520  11106.43  157.59 
